Edad,Sexo,Valor,Tipo
78 años,Mujeres,162452,espana_urbana
79 años,Mujeres,147054,espana_urbana
80 años,Mujeres,177686,espana_urbana
81 años,Mujeres,116228,espana_urbana
82 años,Mujeres,127629,espana_urbana
83 años,Mujeres,137490,espana_urbana
84 años,Mujeres,144034,espana_urbana
85 años,Mujeres,132192,espana_urbana
86 años,Mujeres,123523,espana_urbana
87 años,Mujeres,116430,espana_urbana
88 años,Mujeres,106006,espana_urbana
89 años,Mujeres,89631,espana_urbana
90 años,Mujeres,80228,espana_urbana
91 años,Mujeres,65558,espana_urbana
92 años,Mujeres,54550,espana_urbana
93 años,Mujeres,42537,espana_urbana
94 años,Mujeres,34107,espana_urbana
95 años,Mujeres,25708,espana_urbana
96 años,Mujeres,19446,espana_urbana
97 años,Mujeres,13782,espana_urbana
98 años,Mujeres,10040,espana_urbana
99 años,Mujeres,6446,espana_urbana
100 y más años,Mujeres,12383,espana_urbana
